,name,population,local_name
167,Peru,25662000,Peru/Piruw
168,Philippines,75967000,Pilipinas
169,Palau,19000,Belau/Palau
170,Papua New Guinea,4807000,Papua New Guinea/Papua Niugini
171,Poland,38653600,Polska
172,Puerto Rico,3869000,Puerto Rico
173,North Korea,24039000,Choson Minjujuui In min Konghwaguk (Bukhan)
174,Portugal,9997600,Portugal
175,Paraguay,5496000,Paraguay
176,Palestine,3101000,Filastin
177,French Polynesia,235000,Polynesie francaise
178,Qatar,599000,Qatar
179,Reunion,699000,Reunion
180,Romania,22455500,Romania
181,Russian Federation,146934000,Rossija
182,Rwanda,7733000,Rwanda/urwanda
183,Saudi Arabia,21607000,Al- Arabiya as-Sa udiya
184,Sudan,29490000,As-Sudan
185,Senegal,9481000,Senegal/Sounougal
186,Singapore,3567000,Singapore/Singapura/Xinjiapo/Singapur
187,South Georgia and the South Sandwich Islands,0,South Georgia and the South Sandwich Islands
188,Saint Helena,6000,Saint Helena
189,Svalbard and Jan Mayen,3200,Svalbard og Jan Mayen
190,Solomon Islands,444000,Solomon Islands
191,Sierra Leone,4854000,Sierra Leone
192,El Salvador,6276000,El Salvador
193,San Marino,27000,San Marino
194,Somalia,10097000,Soomaaliya
195,Saint Pierre and Miquelon,7000,Saint-Pierre-et-Miquelon
196,Sao Tome and Principe,147000,Sao Tome e PrIncipe
197,Suriname,417000,Suriname
198,Slovakia,5398700,Slovensko
199,Slovenia,1987800,Slovenija
200,Sweden,8861400,Sverige
201,Swaziland,1008000,kaNgwane
202,Seychelles,77000,Sesel/Seychelles
203,Syria,16125000,Suriya
204,Turks and Caicos Islands,17000,The Turks and Caicos Islands
205,Chad,7651000,Tchad/Tshad
206,Togo,4629000,Togo
207,Thailand,61399000,Prathet Thai
208,Tajikistan,6188000,Tocikiston
209,Tokelau,2000,Tokelau
210,Turkmenistan,4459000,Turkmenostan
211,East Timor,885000,Timor Timur
212,Tonga,99000,Tonga
213,Trinidad and Tobago,1295000,Trinidad and Tobago
214,Tunisia,9586000,Tunis/Tunisie
215,Turkey,66591000,Turkiye
216,Tuvalu,12000,Tuvalu
217,Taiwan,22256000,Tai-wan
218,Tanzania,33517000,Tanzania
219,uganda,21778000,uganda
220,ukraine,50456000,ukrajina
221,united States Minor Outlying Islands,0,united States Minor Outlying Islands
222,uruguay,3337000,uruguay
223,united States,278357000,united States
224,uzbekistan,24318000,uzbekiston
225,Holy See (Vatican City State),1000,Santa Sede/Citta del Vaticano
226,Saint Vincent and the Grenadines,114000,Saint Vincent and the Grenadines
227,Venezuela,24170000,Venezuela
228,"Virgin Islands, British",21000,British Virgin Islands
229,"Virgin Islands, u.S.",93000,Virgin Islands of the united States
230,Vietnam,79832000,Viet Nam
231,Vanuatu,190000,Vanuatu
232,Wallis and Futuna,15000,Wallis-et-Futuna
233,Samoa,180000,Samoa
234,Yemen,18112000,Al-Yaman
235,Yugoslavia,10640000,Jugoslavija
236,South Africa,40377000,South Africa
237,Zambia,9169000,Zambia
238,Zimbabwe,11669000,Zimbabwe
